uid,通道,格数,row,col,压力,距路m
280,P2 旧居住通道,12,71.16666666666667,97.5,1.4682984243426647,32.398681640625
281,P2 旧居住通道,7,79.14285714285714,94.0,2.410099980345467,40.92496109008789
282,P2 旧居住通道,9,74.44444444444444,98.33333333333333,1.4304309330031737,35.61357116699219
283,P2 旧居住通道,10,69.0,95.4,1.6876563029890115,28.64286231994629
284,P2 旧居住通道,11,82.0,94.63636363636364,2.1102879254888163,24.99492645263672
285,P2 旧居住通道,9,69.66666666666667,75.11111111111111,1.5647691260549075,33.84297180175781
286,P2 旧居住通道,24,72.125,89.25,1.8445498547374912,29.890167236328125
287,P2 旧居住通道,12,72.83333333333333,41.5,1.8284837081893226,25.769582748413086
288,P2 旧居住通道,8,73.25,55.75,2.048057089695153,20.13188934326172
289,P2 旧居住通道,9,73.0,78.0,1.2312028267339072,71.6414794921875
290,P2 旧居住通道,2,73.5,21.0,1.3227739433462113,27.858097076416016
291,P2 旧居住通道,1,73.0,27.0,1.845865680511114,37.75029754638672
292,P2 旧居住通道,2,73.0,50.5,1.0866470063804883,41.30645751953125
293,P2 旧居住通道,5,73.8,81.4,1.164374003067314,60.690757751464844
294,P2 旧居住通道,1,74.0,36.0,0.6893731529721139,19.670934677124023
295,P2 旧居住通道,3,74.66666666666667,86.0,2.030904887846122,10.90636920928955
296,P2 旧居住通道,3,76.33333333333333,45.666666666666664,2.045480719436066,47.93499755859375
297,P2 旧居住通道,14,78.07142857142857,84.71428571428571,1.943985211601492,29.000646591186523
298,P2 旧居住通道,10,78.9,41.6,2.270715550181342,48.506229400634766
299,P2 旧居住通道,3,77.33333333333333,89.66666666666667,2.531711286520893,11.991625785827637
300,P2 旧居住通道,1,78.0,52.0,2.05333196245517,42.85313415527344
301,P2 旧居住通道,9,79.11111111111111,55.888888888888886,2.2523941534000946,22.42023277282715
302,P2 旧居住通道,11,88.0909090909091,53.90909090909091,2.371556487695172,20.616718292236328
303,P2 旧居住通道,17,83.11764705882354,49.294117647058826,2.26836894150421,26.65691375732422
304,P2 旧居住通道,12,91.83333333333333,50.333333333333336,2.1054691308891265,26.530014038085938
305,P2 旧居住通道,9,91.55555555555556,53.666666666666664,2.018877629585383,26.43509292602539
306,P2 旧居住通道,13,87.38461538461539,48.69230769230769,2.212810593894676,30.766706466674805
307,P2 旧居住通道,13,84.15384615384616,53.53846153846154,2.163104732330245,25.41187286376953
308,P2 旧居住通道,8,87.125,64.875,2.0017110348166662,58.842018127441406
309,P2 旧居住通道,3,87.66666666666667,44.666666666666664,1.4001167838765334,24.25957679748535
310,P2 旧居住通道,1,92.0,47.0,1.8717049496723384,21.025327682495117
311,P2 旧居住通道,3,96.0,56.0,1.0866045281369783,41.33390426635742
312,P2 旧居住通道,10,97.9,82.2,1.637187892438747,33.4316291809082
313,P2 旧居住通道,23,99.52173913043478,91.17391304347827,1.751046834312925,35.489349365234375
314,P2 旧居住通道,2,99.5,145.5,-0.6181036665015075,447.7916259765625
315,P2 旧居住通道,11,102.72727272727273,77.54545454545455,1.616591670401712,34.091182708740234
316,P2 旧居住通道,12,106.25,77.16666666666667,1.9180253101342861,43.314579010009766
317,P2 旧居住通道,15,107.06666666666666,81.26666666666667,1.9396122711220096,51.41197967529297
